"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 28, 2014","1,332.51","1,346.51","1,354.04","1,330.89","-","-1.04%"
"Jan 27, 2014","1,346.51","1,364.11","1,365.38","1,334.54","-","-1.29%"
"Jan 24, 2014","1,364.11","1,381.59","1,389.69","1,357.33","-","-1.27%"
"Jan 23, 2014","1,381.59","1,391.75","1,397.68","1,381.45","-","-0.73%"
"Jan 22, 2014","1,391.75","1,395.87","1,398.32","1,385.05","-","-0.30%"
"Jan 21, 2014","1,395.87","1,394.49","1,402.33","1,391.59","-","0.10%"
"Jan 20, 2014","1,394.49","1,395.79","1,399.56","1,389.49","-","-0.09%"
"Jan 17, 2014","1,395.79","1,397.23","1,409.17","1,389.59","-","-0.10%"
"Jan 16, 2014","1,397.23","1,401.78","1,406.90","1,394.24","-","-0.32%"
"Jan 15, 2014","1,401.78","1,388.69","1,402.14","1,388.40","-","0.94%"
"Jan 14, 2014","1,388.69","1,401.82","1,401.82","1,374.74","-","-0.94%"
"Jan 13, 2014","1,401.82","1,395.91","1,410.62","1,395.29","-","0.42%"
"Jan 10, 2014","1,395.91","1,388.86","1,397.21","1,378.70","-","0.51%"
"Jan 09, 2014","1,388.86","1,390.35","1,398.48","1,387.48","-","-0.11%"
"Jan 08, 2014","1,390.35","1,388.28","1,399.19","1,387.86","-","0.15%"
"Jan 06, 2014","1,388.28","1,442.73","1,443.85","1,387.23","-","-3.77%"
"Dec 30, 2013","1,442.73","1,445.39","1,449.90","1,436.68","-","-0.18%"
"Dec 27, 2013","1,445.39","1,448.29","1,460.36","1,445.05","-","-0.20%"
"Dec 26, 2013","1,448.29","1,447.50","1,467.85","1,444.83","-","0.05%"
"Dec 25, 2013","1,447.50","1,454.02","1,456.70","1,447.10","-","-0.45%"
"Dec 24, 2013","1,454.02","1,453.10","1,457.65","1,451.35","-","0.06%"
"Dec 23, 2013","1,453.10","1,429.91","1,455.22","1,426.94","-","1.62%"
"Dec 20, 2013","1,429.91","1,431.11","1,433.76","1,423.11","-","-0.08%"
"Dec 19, 2013","1,431.11","1,423.87","1,445.06","1,423.24","-","0.51%"
"Dec 18, 2013","1,423.87","1,414.68","1,423.87","1,412.39","-","0.65%"
"Dec 17, 2013","1,414.68","1,407.25","1,418.34","1,402.94","-","0.53%"
"Dec 16, 2013","1,407.25","1,391.85","1,408.04","1,385.45","-","1.11%"
"Dec 13, 2013","1,391.85","1,393.57","1,398.85","1,388.76","-","-0.12%"
"Dec 12, 2013","1,393.57","1,409.28","1,411.71","1,388.82","-","-1.11%"
"Dec 11, 2013","1,409.28","1,409.85","1,413.68","1,396.81","-","-0.04%"
"Dec 10, 2013","1,409.85","1,412.08","1,415.40","1,404.61","-","-0.16%"
"Dec 09, 2013","1,412.08","1,390.61","1,413.13","1,388.13","-","1.54%"
"Dec 06, 2013","1,390.61","1,362.55","1,391.85","1,362.05","-","2.06%"
"Dec 05, 2013","1,362.55","1,364.44","1,379.09","1,360.25","-","-0.14%"
"Dec 04, 2013","1,364.44","1,372.44","1,380.38","1,361.21","-","-0.58%"
