"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 1993","855.52","841.39","860.73","841.39","-","0.73%"
"Aug 05, 1993","849.30","853.71","863.94","842.72","-","-0.15%"
"Aug 04, 1993","850.54","833.40","855.86","823.00","-","2.14%"
"Aug 03, 1993","832.72","842.29","853.35","830.67","-","-1.25%"
"Aug 02, 1993","843.27","894.90","913.15","842.35","-","-4.29%"
"Jul 30, 1993","881.07","810.09","901.12","810.09","-","9.22%"
"Jul 29, 1993","806.67","801.16","810.63","801.16","-","1.04%"
"Jul 28, 1993","798.33","792.88","818.06","791.23","-","0.85%"
"Jul 27, 1993","791.62","786.19","798.85","777.73","-","0.48%"
"Jul 26, 1993","787.81","810.07","810.07","787.80","-","-3.16%"
"Jul 23, 1993","813.54","816.08","818.55","811.47","-","-0.24%"
"Jul 22, 1993","815.53","812.10","815.53","804.10","-","0.47%"
"Jul 21, 1993","811.70","809.66","820.24","808.37","-","0.43%"
"Jul 20, 1993","808.20","834.08","836.85","803.34","-","-3.44%"
"Jul 19, 1993","836.98","848.10","848.10","836.70","-","-1.17%"
"Jul 16, 1993","846.87","841.62","849.66","839.28","-","0.97%"
"Jul 15, 1993","838.70","833.89","847.30","830.61","-","0.28%"
"Jul 14, 1993","836.39","870.05","870.05","833.08","-","-3.87%"
"Jul 13, 1993","870.05","853.66","870.05","853.66","-","2.90%"
"Jul 12, 1993","845.52","855.50","855.50","828.55","-","-2.65%"
"Jul 09, 1993","868.57","896.16","896.24","865.31","-","-3.08%"
"Jul 08, 1993","896.16","904.46","909.11","895.62","-","-0.84%"
"Jul 07, 1993","903.79","897.22","909.93","869.65","-","0.69%"
"Jul 06, 1993","897.64","938.42","938.42","895.69","-","-5.74%"
"Jul 05, 1993","952.31","976.67","980.92","946.87","-","-3.51%"
"Jul 02, 1993","986.98","995.70","1,002.87","986.98","-","-1.06%"
"Jul 01, 1993","997.53","1,000.80","1,009.89","980.05","-","-0.95%"
"Jun 30, 1993","1,007.05","1,037.89","1,043.05","1,003.86","-","-2.08%"
"Jun 29, 1993","1,028.44","1,008.23","1,037.49","1,002.61","-","2.60%"
"Jun 28, 1993","1,002.42","1,006.63","1,010.52","983.97","-","-0.42%"
"Jun 25, 1993","1,006.64","979.93","1,041.22","979.93","-","2.70%"
"Jun 24, 1993","980.17","985.62","993.80","974.17","-","-0.59%"
"Jun 23, 1993","986.02","981.40","991.21","980.53","-","0.50%"
"Jun 22, 1993","981.13","972.10","987.07","971.63","-","0.36%"
"Jun 21, 1993","977.61","1,003.98","1,003.98","967.74","-","-2.82%"
"Jun 18, 1993","1,005.98","994.20","1,007.25","989.21","-","0.80%"
"Jun 17, 1993","998.00","998.21","1,016.23","998.00","-","-0.62%"
"Jun 16, 1993","1,004.24","1,004.40","1,013.81","997.33","-","0.26%"
"Jun 15, 1993","1,001.61","998.70","1,002.96","981.84","-","0.12%"
"Jun 14, 1993","1,000.43","1,046.07","1,046.07","990.16","-","-4.45%"
"Jun 11, 1993","1,047.00","1,043.94","1,052.56","1,024.20","-","0.25%"
"Jun 10, 1993","1,044.44","1,069.36","1,070.06","1,040.38","-","-1.95%"
"Jun 09, 1993","1,065.19","1,071.33","1,081.18","1,053.32","-","-0.87%"
"Jun 08, 1993","1,074.58","1,094.11","1,101.69","1,054.31","-","0.90%"
"Jun 07, 1993","1,064.98","1,006.26","1,068.84","982.03","-","6.04%"
"Jun 04, 1993","1,004.30","1,024.74","1,031.03","981.89","-","-1.37%"
"Jun 03, 1993","1,018.29","1,102.08","1,177.91","961.32","-","-5.82%"
"Jun 02, 1993","1,081.20","958.61","1,081.20","904.32","-","16.44%"
"Jun 01, 1993","928.58","935.90","935.90","859.48","-","-0.74%"
"May 31, 1993","935.48","975.05","980.03","930.64","-","-3.83%"
"May 28, 1993","972.77","962.21","980.96","959.25","-","0.95%"
"May 27, 1993","963.61","1,001.19","1,001.63","942.21","-","-3.20%"
"May 26, 1993","995.45","1,003.89","1,008.55","992.94","-","-0.25%"
"May 25, 1993","997.95","1,020.32","1,020.32","965.29","-","-2.75%"
"May 24, 1993","1,026.13","1,143.15","1,143.15","1,026.13","-","-10.30%"
"May 21, 1993","1,143.97","1,177.30","1,178.54","1,133.20","-","-1.84%"
"May 20, 1993","1,165.40","1,148.56","1,175.20","1,148.56","-","1.58%"
